epoch_minute	utc_minute	expected_concurrent	status
1787400000	2026-08-22 12:00	5	TRUTH
1787400060	2026-08-22 12:01	5	TRUTH
1787400120	2026-08-22 12:02	5	TRUTH
1787400180	2026-08-22 12:03	5	TRUTH
1787400240	2026-08-22 12:04	5	TRUTH
1787400300	2026-08-22 12:05	8	TRUTH
1787400360	2026-08-22 12:06	8	TRUTH
1787400420	2026-08-22 12:07	8	TRUTH
1787400480	2026-08-22 12:08	8	TRUTH
1787400540	2026-08-22 12:09	8	TRUTH
1787400600	2026-08-22 12:10	10	TRUTH
1787400660	2026-08-22 12:11	10	TRUTH
1787400720	2026-08-22 12:12	10	TRUTH
1787400780	2026-08-22 12:13	10	TRUTH
1787400840	2026-08-22 12:14	10	TRUTH
1787400900	2026-08-22 12:15	10	TRUTH
1787400960	2026-08-22 12:16	10	TRUTH
1787401020	2026-08-22 12:17	5	TRUTH
1787401080	2026-08-22 12:18	5	TRUTH
1787401140	2026-08-22 12:19	5	TRUTH
1787401200	2026-08-22 12:20	5	TRUTH
1787401260	2026-08-22 12:21	5	TRUTH
1787401320	2026-08-22 12:22	2	TRUTH
1787401380	2026-08-22 12:23	2	TRUTH
1787401440	2026-08-22 12:24	2	TRUTH
1787401500	2026-08-22 12:25	2	TRUTH
1787401560	2026-08-22 12:26	2	TRUTH
