epoch_minute	utc_minute	expected_concurrent	status
1787392800	2026-08-22 10:00	2	TRUTH
1787392860	2026-08-22 10:01	2	TRUTH
1787392920	2026-08-22 10:02	2	TRUTH
1787392980	2026-08-22 10:03	2	TRUTH
1787393040	2026-08-22 10:04	2	TRUTH
1787393100	2026-08-22 10:05	4	TRUTH
1787393160	2026-08-22 10:06	4	TRUTH
1787393220	2026-08-22 10:07	4	TRUTH
1787393280	2026-08-22 10:08	4	TRUTH
1787393340	2026-08-22 10:09	4	TRUTH
1787393400	2026-08-22 10:10	4	TRUTH
1787393460	2026-08-22 10:11	4	TRUTH
1787393520	2026-08-22 10:12	4	TRUTH
1787393580	2026-08-22 10:13	4	TRUTH
1787393640	2026-08-22 10:14	4	TRUTH
1787393700	2026-08-22 10:15	4	TRUTH
1787393760	2026-08-22 10:16	4	TRUTH
1787393820	2026-08-22 10:17	4	TRUTH
1787393880	2026-08-22 10:18	4	TRUTH
1787393940	2026-08-22 10:19	4	TRUTH
1787394000	2026-08-22 10:20	4	TRUTH
1787394060	2026-08-22 10:21	4	TRUTH
1787394120	2026-08-22 10:22	2	TRUTH
1787394180	2026-08-22 10:23	2	TRUTH
1787394240	2026-08-22 10:24	2	TRUTH
1787394300	2026-08-22 10:25	2	TRUTH
1787394360	2026-08-22 10:26	2	TRUTH
1787394600	2026-08-22 10:30	2	SPEC_ONLY
1787394660	2026-08-22 10:31	2	SPEC_ONLY
1787394720	2026-08-22 10:32	2	SPEC_ONLY
1787394780	2026-08-22 10:33	2	SPEC_ONLY
1787394840	2026-08-22 10:34	2	SPEC_ONLY
1787394900	2026-08-22 10:35	2	SPEC_ONLY
1787394960	2026-08-22 10:36	2	SPEC_ONLY
1787395020	2026-08-22 10:37	2	SPEC_ONLY
1787395080	2026-08-22 10:38	2	SPEC_ONLY
1787395140	2026-08-22 10:39	2	SPEC_ONLY
1787395200	2026-08-22 10:40	2	SPEC_ONLY
1787395260	2026-08-22 10:41	2	SPEC_ONLY
1787395320	2026-08-22 10:42	2	SPEC_ONLY
1787395380	2026-08-22 10:43	2	SPEC_ONLY
1787395440	2026-08-22 10:44	2	SPEC_ONLY
1787395500	2026-08-22 10:45	2	SPEC_ONLY
1787395560	2026-08-22 10:46	2	SPEC_ONLY
