epoch_minute	utc_minute	expected_concurrent	status
1787389200	2026-08-22 09:00	4	TRUTH
1787389260	2026-08-22 09:01	4	TRUTH
1787389320	2026-08-22 09:02	4	TRUTH
1787389380	2026-08-22 09:03	4	TRUTH
1787389440	2026-08-22 09:04	4	TRUTH
1787389500	2026-08-22 09:05	4	TRUTH
1787389560	2026-08-22 09:06	4	TRUTH
1787389620	2026-08-22 09:07	4	TRUTH
1787389680	2026-08-22 09:08	4	TRUTH
1787389740	2026-08-22 09:09	4	TRUTH
1787389800	2026-08-22 09:10	4	TRUTH
1787389860	2026-08-22 09:11	4	TRUTH
1787389920	2026-08-22 09:12	4	TRUTH
1787389980	2026-08-22 09:13	4	TRUTH
1787390040	2026-08-22 09:14	4	TRUTH
1787390100	2026-08-22 09:15	4	TRUTH
1787390160	2026-08-22 09:16	4	TRUTH
