epoch_minute	utc_minute	expected_concurrent	status
1787403600	2026-08-22 13:00	2	TRUTH
1787403660	2026-08-22 13:01	2	TRUTH
1787403720	2026-08-22 13:02	2	TRUTH
1787403780	2026-08-22 13:03	2	TRUTH
1787403840	2026-08-22 13:04	2	TRUTH
1787403900	2026-08-22 13:05	4	TRUTH
1787403960	2026-08-22 13:06	4	TRUTH
1787404020	2026-08-22 13:07	4	TRUTH
1787404080	2026-08-22 13:08	4	TRUTH
1787404140	2026-08-22 13:09	4	TRUTH
1787404200	2026-08-22 13:10	5	TRUTH
1787404260	2026-08-22 13:11	5	TRUTH
1787404320	2026-08-22 13:12	5	TRUTH
1787404380	2026-08-22 13:13	5	TRUTH
1787404440	2026-08-22 13:14	5	TRUTH
1787404500	2026-08-22 13:15	5	TRUTH
1787404560	2026-08-22 13:16	5	TRUTH
1787404620	2026-08-22 13:17	3	TRUTH
1787404680	2026-08-22 13:18	3	TRUTH
1787404740	2026-08-22 13:19	3	TRUTH
1787404800	2026-08-22 13:20	3	TRUTH
1787404860	2026-08-22 13:21	3	TRUTH
1787404920	2026-08-22 13:22	1	TRUTH
1787404980	2026-08-22 13:23	1	TRUTH
1787405040	2026-08-22 13:24	1	TRUTH
1787405100	2026-08-22 13:25	1	TRUTH
1787405160	2026-08-22 13:26	1	TRUTH
