epoch_minute	utc_minute	expected_concurrent	status
1787425200	2026-08-22 19:00	1	TRUTH
1787425260	2026-08-22 19:01	1	TRUTH
1787425320	2026-08-22 19:02	1	TRUTH
1787425380	2026-08-22 19:03	1	TRUTH
1787425440	2026-08-22 19:04	1	TRUTH
1787425500	2026-08-22 19:05	1	TRUTH
1787425560	2026-08-22 19:06	1	TRUTH
1787425620	2026-08-22 19:07	1	TRUTH
1787425680	2026-08-22 19:08	1	TRUTH
1787425740	2026-08-22 19:09	1	TRUTH
1787425800	2026-08-22 19:10	1	TRUTH
1787425920	2026-08-22 19:12	1	TRUTH
1787425980	2026-08-22 19:13	1	TRUTH
1787426040	2026-08-22 19:14	1	TRUTH
1787426100	2026-08-22 19:15	1	TRUTH
1787426160	2026-08-22 19:16	1	TRUTH
1787426220	2026-08-22 19:17	1	TRUTH
1787426280	2026-08-22 19:18	1	TRUTH
1787426340	2026-08-22 19:19	1	TRUTH
1787426400	2026-08-22 19:20	1	TRUTH
1787426460	2026-08-22 19:21	1	TRUTH
1787426520	2026-08-22 19:22	1	TRUTH
1787426580	2026-08-22 19:23	1	TRUTH
1787426640	2026-08-22 19:24	1	TRUTH
1787426700	2026-08-22 19:25	1	TRUTH
1787426760	2026-08-22 19:26	1	TRUTH
1787426820	2026-08-22 19:27	1	TRUTH
1787426880	2026-08-22 19:28	1	TRUTH
1787426940	2026-08-22 19:29	1	TRUTH
1787427000	2026-08-22 19:30	1	TRUTH
1787427060	2026-08-22 19:31	1	TRUTH
1787428800	2026-08-22 20:00	1200	TRUTH
1787428860	2026-08-22 20:01	1200	TRUTH
1787428920	2026-08-22 20:02	1200	TRUTH
1787428980	2026-08-22 20:03	1200	TRUTH
1787429040	2026-08-22 20:04	1200	TRUTH
1787429100	2026-08-22 20:05	1200	TRUTH
1787429160	2026-08-22 20:06	1200	TRUTH
1787429220	2026-08-22 20:07	1200	TRUTH
1787429280	2026-08-22 20:08	1200	TRUTH
1787429340	2026-08-22 20:09	1200	TRUTH
1787429400	2026-08-22 20:10	1200	TRUTH
1787429460	2026-08-22 20:11	1200	TRUTH
1787432400	2026-08-22 21:00	400	TRUTH
1787432460	2026-08-22 21:01	400	TRUTH
1787432520	2026-08-22 21:02	400	TRUTH
1787432580	2026-08-22 21:03	400	TRUTH
1787432640	2026-08-22 21:04	400	TRUTH
1787432700	2026-08-22 21:05	400	TRUTH
1787432760	2026-08-22 21:06	400	TRUTH
1787432820	2026-08-22 21:07	400	TRUTH
1787432880	2026-08-22 21:08	400	TRUTH
1787432940	2026-08-22 21:09	400	TRUTH
1787433000	2026-08-22 21:10	400	TRUTH
1787433060	2026-08-22 21:11	400	TRUTH
