epoch_minute	utc_minute	expected_concurrent	status
1787367600	2026-08-22 03:00	1	SPEC_ONLY
1787367660	2026-08-22 03:01	1	SPEC_ONLY
1787367720	2026-08-22 03:02	1	SPEC_ONLY
1787367780	2026-08-22 03:03	1	SPEC_ONLY
1787367840	2026-08-22 03:04	1	SPEC_ONLY
1787367900	2026-08-22 03:05	1	SPEC_ONLY
1787367960	2026-08-22 03:06	1	SPEC_ONLY
1787368020	2026-08-22 03:07	1	SPEC_ONLY
1787368080	2026-08-22 03:08	1	SPEC_ONLY
1787368140	2026-08-22 03:09	1	SPEC_ONLY
1787368200	2026-08-22 03:10	1	SPEC_ONLY
1787368260	2026-08-22 03:11	1	SPEC_ONLY
1787368320	2026-08-22 03:12	1	SPEC_ONLY
1787368380	2026-08-22 03:13	1	SPEC_ONLY
1787368440	2026-08-22 03:14	1	SPEC_ONLY
1787368500	2026-08-22 03:15	1	SPEC_ONLY
1787368560	2026-08-22 03:16	1	SPEC_ONLY
1787368620	2026-08-22 03:17	1	SPEC_ONLY
1787368680	2026-08-22 03:18	1	SPEC_ONLY
1787368740	2026-08-22 03:19	1	SPEC_ONLY
1787368800	2026-08-22 03:20	1	SPEC_ONLY
1787368860	2026-08-22 03:21	1	SPEC_ONLY
1787368920	2026-08-22 03:22	1	SPEC_ONLY
1787368980	2026-08-22 03:23	1	SPEC_ONLY
1787369040	2026-08-22 03:24	1	SPEC_ONLY
1787369100	2026-08-22 03:25	1	SPEC_ONLY
1787369160	2026-08-22 03:26	1	SPEC_ONLY
1787369220	2026-08-22 03:27	1	SPEC_ONLY
1787369280	2026-08-22 03:28	1	SPEC_ONLY
1787369340	2026-08-22 03:29	1	SPEC_ONLY
1787369400	2026-08-22 03:30	1	SPEC_ONLY
1787369460	2026-08-22 03:31	1	SPEC_ONLY
1787418000	2026-08-22 17:00	5	TRUTH
1787418060	2026-08-22 17:01	5	TRUTH
1787418120	2026-08-22 17:02	5	TRUTH
1787418180	2026-08-22 17:03	5	TRUTH
1787418240	2026-08-22 17:04	5	TRUTH
1787418300	2026-08-22 17:05	5	TRUTH
1787418360	2026-08-22 17:06	5	TRUTH
1787418420	2026-08-22 17:07	4	TRUTH
1787418480	2026-08-22 17:08	4	TRUTH
1787418540	2026-08-22 17:09	4	TRUTH
1787418600	2026-08-22 17:10	4	TRUTH
1787418660	2026-08-22 17:11	4	TRUTH
1787418720	2026-08-22 17:12	3	TRUTH
1787418780	2026-08-22 17:13	3	TRUTH
1787418840	2026-08-22 17:14	3	TRUTH
1787418900	2026-08-22 17:15	2	TRUTH
1787418960	2026-08-22 17:16	2	TRUTH
1787419020	2026-08-22 17:17	1	TRUTH
1787419080	2026-08-22 17:18	1	TRUTH
1787419140	2026-08-22 17:19	1	TRUTH
1787419200	2026-08-22 17:20	2	TRUTH
1787419260	2026-08-22 17:21	2	TRUTH
1787419320	2026-08-22 17:22	1	TRUTH
1787419380	2026-08-22 17:23	1	TRUTH
1787419440	2026-08-22 17:24	1	TRUTH
1787419500	2026-08-22 17:25	1	TRUTH
1787419800	2026-08-22 17:30	8	TRUTH
1787419860	2026-08-22 17:31	8	TRUTH
1787419920	2026-08-22 17:32	8	TRUTH
1787419980	2026-08-22 17:33	8	TRUTH
1787420040	2026-08-22 17:34	8	TRUTH
1787420100	2026-08-22 17:35	8	TRUTH
1787420160	2026-08-22 17:36	8	TRUTH
1787420220	2026-08-22 17:37	8	TRUTH
1787420280	2026-08-22 17:38	8	TRUTH
1787420340	2026-08-22 17:39	8	TRUTH
1787420400	2026-08-22 17:40	10	TRUTH
1787420460	2026-08-22 17:41	10	TRUTH
1787420520	2026-08-22 17:42	10	TRUTH
1787420580	2026-08-22 17:43	10	TRUTH
1787420640	2026-08-22 17:44	10	TRUTH
1787420700	2026-08-22 17:45	10	TRUTH
1787420760	2026-08-22 17:46	10	TRUTH
1787420820	2026-08-22 17:47	9	TRUTH
1787420880	2026-08-22 17:48	9	TRUTH
1787420940	2026-08-22 17:49	9	TRUTH
1787421000	2026-08-22 17:50	9	TRUTH
1787421060	2026-08-22 17:51	9	TRUTH
1787421120	2026-08-22 17:52	1	TRUTH
1787421180	2026-08-22 17:53	1	TRUTH
1787421240	2026-08-22 17:54	1	TRUTH
1787421300	2026-08-22 17:55	1	TRUTH
1787421360	2026-08-22 17:56	1	TRUTH
