epoch_minute	utc_minute	expected_concurrent	status
1787364300	2026-08-22 02:05	2	SPEC_ONLY
1787364360	2026-08-22 02:06	2	SPEC_ONLY
1787364420	2026-08-22 02:07	2	SPEC_ONLY
1787364480	2026-08-22 02:08	2	SPEC_ONLY
1787364540	2026-08-22 02:09	2	SPEC_ONLY
1787364600	2026-08-22 02:10	2	SPEC_ONLY
1787364660	2026-08-22 02:11	2	SPEC_ONLY
1787364720	2026-08-22 02:12	2	SPEC_ONLY
1787364780	2026-08-22 02:13	2	SPEC_ONLY
1787364840	2026-08-22 02:14	2	SPEC_ONLY
1787364900	2026-08-22 02:15	2	SPEC_ONLY
1787410800	2026-08-22 15:00	1	TRUTH
1787410860	2026-08-22 15:01	1	TRUTH
1787410920	2026-08-22 15:02	1	TRUTH
1787410980	2026-08-22 15:03	1	TRUTH
1787411040	2026-08-22 15:04	1	TRUTH
1787411100	2026-08-22 15:05	1	TRUTH
1787411160	2026-08-22 15:06	1	TRUTH
1787411220	2026-08-22 15:07	1	TRUTH
1787411280	2026-08-22 15:08	2	TRUTH
1787411340	2026-08-22 15:09	2	TRUTH
1787411400	2026-08-22 15:10	2	TRUTH
1787411460	2026-08-22 15:11	2	TRUTH
1787411520	2026-08-22 15:12	1	TRUTH
1787411580	2026-08-22 15:13	1	TRUTH
1787411640	2026-08-22 15:14	1	TRUTH
1787411700	2026-08-22 15:15	1	TRUTH
1787411760	2026-08-22 15:16	1	TRUTH
1787412600	2026-08-22 15:30	5	TRUTH
1787412660	2026-08-22 15:31	5	TRUTH
1787412720	2026-08-22 15:32	5	TRUTH
1787412780	2026-08-22 15:33	5	TRUTH
1787412840	2026-08-22 15:34	5	TRUTH
1787412900	2026-08-22 15:35	5	TRUTH
1787412960	2026-08-22 15:36	5	TRUTH
1787413020	2026-08-22 15:37	5	TRUTH
1787413080	2026-08-22 15:38	5	TRUTH
1787413140	2026-08-22 15:39	5	TRUTH
1787413200	2026-08-22 15:40	5	TRUTH
1787413800	2026-08-22 15:50	2	TRUTH
1787413860	2026-08-22 15:51	2	TRUTH
1787413920	2026-08-22 15:52	2	TRUTH
1787413980	2026-08-22 15:53	2	TRUTH
1787414040	2026-08-22 15:54	2	TRUTH
1787414100	2026-08-22 15:55	2	TRUTH
1787414160	2026-08-22 15:56	2	TRUTH
1787414220	2026-08-22 15:57	2	TRUTH
1787414280	2026-08-22 15:58	2	TRUTH
1787414340	2026-08-22 15:59	2	TRUTH
1787442600	2026-08-22 23:50	1	TRUTH
1787442660	2026-08-22 23:51	1	TRUTH
1787442720	2026-08-22 23:52	1	TRUTH
1787442780	2026-08-22 23:53	1	TRUTH
1787442840	2026-08-22 23:54	1	TRUTH
1787442900	2026-08-22 23:55	1	TRUTH
1787442960	2026-08-22 23:56	1	TRUTH
1787443020	2026-08-22 23:57	1	TRUTH
1787443080	2026-08-22 23:58	1	TRUTH
1787443140	2026-08-22 23:59	1	TRUTH
1787443200	2026-08-23 00:00	1	TRUTH
1787443260	2026-08-23 00:01	1	TRUTH
1787443320	2026-08-23 00:02	1	TRUTH
1787443380	2026-08-23 00:03	1	TRUTH
1787443440	2026-08-23 00:04	1	TRUTH
1787443500	2026-08-23 00:05	1	TRUTH
1787443560	2026-08-23 00:06	1	TRUTH
1787443620	2026-08-23 00:07	1	TRUTH
1787443680	2026-08-23 00:08	1	TRUTH
1787443740	2026-08-23 00:09	1	TRUTH
1787443800	2026-08-23 00:10	1	TRUTH
1787443860	2026-08-23 00:11	1	TRUTH
