epoch_minute	utc_minute	expected_concurrent	status
1787396400	2026-08-22 11:00	2	TRUTH
1787396460	2026-08-22 11:01	2	TRUTH
1787396520	2026-08-22 11:02	2	TRUTH
1787396580	2026-08-22 11:03	2	TRUTH
1787396640	2026-08-22 11:04	2	TRUTH
1787396700	2026-08-22 11:05	4	TRUTH
1787396760	2026-08-22 11:06	4	TRUTH
1787396820	2026-08-22 11:07	4	TRUTH
1787396880	2026-08-22 11:08	4	TRUTH
1787396940	2026-08-22 11:09	4	TRUTH
1787397000	2026-08-22 11:10	5	TRUTH
1787397060	2026-08-22 11:11	5	TRUTH
1787397120	2026-08-22 11:12	5	TRUTH
1787397180	2026-08-22 11:13	5	TRUTH
1787397240	2026-08-22 11:14	5	TRUTH
1787397300	2026-08-22 11:15	5	TRUTH
1787397360	2026-08-22 11:16	5	TRUTH
1787397420	2026-08-22 11:17	5	TRUTH
1787397480	2026-08-22 11:18	5	TRUTH
1787397540	2026-08-22 11:19	5	TRUTH
1787397600	2026-08-22 11:20	5	TRUTH
1787397660	2026-08-22 11:21	5	TRUTH
1787397720	2026-08-22 11:22	3	TRUTH
1787397780	2026-08-22 11:23	3	TRUTH
1787397840	2026-08-22 11:24	3	TRUTH
1787397900	2026-08-22 11:25	3	TRUTH
1787397960	2026-08-22 11:26	3	TRUTH
1787398020	2026-08-22 11:27	1	TRUTH
1787398080	2026-08-22 11:28	1	TRUTH
1787398140	2026-08-22 11:29	1	TRUTH
1787398200	2026-08-22 11:30	1	TRUTH
1787398260	2026-08-22 11:31	1	TRUTH
