epoch_minute	utc_minute	expected_concurrent	status
1787421600	2026-08-22 18:00	4	TRUTH
1787421660	2026-08-22 18:01	4	TRUTH
1787421720	2026-08-22 18:02	4	TRUTH
1787421780	2026-08-22 18:03	4	TRUTH
1787421840	2026-08-22 18:04	4	TRUTH
1787421900	2026-08-22 18:05	4	TRUTH
1787422500	2026-08-22 18:15	1	TRUTH
1787422560	2026-08-22 18:16	1	TRUTH
1787422620	2026-08-22 18:17	1	TRUTH
1787422680	2026-08-22 18:18	1	TRUTH
1787422740	2026-08-22 18:19	1	TRUTH
1787422800	2026-08-22 18:20	1	TRUTH
1787423400	2026-08-22 18:30	1	TRUTH
1787423460	2026-08-22 18:31	1	TRUTH
1787423520	2026-08-22 18:32	1	TRUTH
1787423580	2026-08-22 18:33	1	TRUTH
1787423640	2026-08-22 18:34	1	TRUTH
1787423700	2026-08-22 18:35	1	TRUTH
1787423760	2026-08-22 18:36	1	TRUTH
1787423820	2026-08-22 18:37	1	TRUTH
1787423880	2026-08-22 18:38	1	TRUTH
1787423940	2026-08-22 18:39	1	TRUTH
1787424000	2026-08-22 18:40	1	TRUTH
1787424060	2026-08-22 18:41	1	TRUTH
1787424120	2026-08-22 18:42	1	TRUTH
1787424180	2026-08-22 18:43	1	TRUTH
1787424240	2026-08-22 18:44	1	TRUTH
1787424300	2026-08-22 18:45	1	TRUTH
1787424360	2026-08-22 18:46	1	TRUTH
1787424600	2026-08-22 18:50	1	TRUTH
1787424660	2026-08-22 18:51	1	TRUTH
1787424720	2026-08-22 18:52	1	TRUTH
1787424780	2026-08-22 18:53	1	TRUTH
1787424840	2026-08-22 18:54	1	TRUTH
1787424900	2026-08-22 18:55	1	TRUTH
