epoch_minute	utc_minute	expected_concurrent	status
0	1970-01-01 00:00	1	TRUTH
60	1970-01-01 00:01	1	TRUTH
120	1970-01-01 00:02	1	TRUTH
180	1970-01-01 00:03	1	TRUTH
240	1970-01-01 00:04	1	TRUTH
300	1970-01-01 00:05	1	TRUTH
360	1970-01-01 00:06	1	TRUTH
1787400	1970-01-21 16:30	1	TRUTH
1787460	1970-01-21 16:31	1	TRUTH
1787364300	2026-08-22 02:05	2	SPEC_ONLY
1787364360	2026-08-22 02:06	2	SPEC_ONLY
1787364420	2026-08-22 02:07	2	SPEC_ONLY
1787364480	2026-08-22 02:08	2	SPEC_ONLY
1787364540	2026-08-22 02:09	2	SPEC_ONLY
1787364600	2026-08-22 02:10	2	SPEC_ONLY
1787364660	2026-08-22 02:11	2	SPEC_ONLY
1787364720	2026-08-22 02:12	2	SPEC_ONLY
1787364780	2026-08-22 02:13	2	SPEC_ONLY
1787364840	2026-08-22 02:14	2	SPEC_ONLY
1787364900	2026-08-22 02:15	2	SPEC_ONLY
1787367600	2026-08-22 03:00	1	SPEC_ONLY
1787367660	2026-08-22 03:01	1	SPEC_ONLY
1787367720	2026-08-22 03:02	1	SPEC_ONLY
1787367780	2026-08-22 03:03	1	SPEC_ONLY
1787367840	2026-08-22 03:04	1	SPEC_ONLY
1787367900	2026-08-22 03:05	1	SPEC_ONLY
1787367960	2026-08-22 03:06	1	SPEC_ONLY
1787368020	2026-08-22 03:07	1	SPEC_ONLY
1787368080	2026-08-22 03:08	1	SPEC_ONLY
1787368140	2026-08-22 03:09	1	SPEC_ONLY
1787368200	2026-08-22 03:10	1	SPEC_ONLY
1787368260	2026-08-22 03:11	1	SPEC_ONLY
1787368320	2026-08-22 03:12	1	SPEC_ONLY
1787368380	2026-08-22 03:13	1	SPEC_ONLY
1787368440	2026-08-22 03:14	1	SPEC_ONLY
1787368500	2026-08-22 03:15	1	SPEC_ONLY
1787368560	2026-08-22 03:16	1	SPEC_ONLY
1787368620	2026-08-22 03:17	1	SPEC_ONLY
1787368680	2026-08-22 03:18	1	SPEC_ONLY
1787368740	2026-08-22 03:19	1	SPEC_ONLY
1787368800	2026-08-22 03:20	1	SPEC_ONLY
1787368860	2026-08-22 03:21	1	SPEC_ONLY
1787368920	2026-08-22 03:22	1	SPEC_ONLY
1787368980	2026-08-22 03:23	1	SPEC_ONLY
1787369040	2026-08-22 03:24	1	SPEC_ONLY
1787369100	2026-08-22 03:25	1	SPEC_ONLY
1787369160	2026-08-22 03:26	1	SPEC_ONLY
1787369220	2026-08-22 03:27	1	SPEC_ONLY
1787369280	2026-08-22 03:28	1	SPEC_ONLY
1787369340	2026-08-22 03:29	1	SPEC_ONLY
1787369400	2026-08-22 03:30	1	SPEC_ONLY
1787369460	2026-08-22 03:31	1	SPEC_ONLY
1787392800	2026-08-22 10:00	2	TRUTH
1787392860	2026-08-22 10:01	2	TRUTH
1787392920	2026-08-22 10:02	2	TRUTH
1787392980	2026-08-22 10:03	2	TRUTH
1787393040	2026-08-22 10:04	2	TRUTH
1787393100	2026-08-22 10:05	4	TRUTH
1787393160	2026-08-22 10:06	4	TRUTH
1787393220	2026-08-22 10:07	4	TRUTH
1787393280	2026-08-22 10:08	4	TRUTH
1787393340	2026-08-22 10:09	4	TRUTH
1787393400	2026-08-22 10:10	4	TRUTH
1787393460	2026-08-22 10:11	4	TRUTH
1787393520	2026-08-22 10:12	4	TRUTH
1787393580	2026-08-22 10:13	4	TRUTH
1787393640	2026-08-22 10:14	4	TRUTH
1787393700	2026-08-22 10:15	4	TRUTH
1787393760	2026-08-22 10:16	4	TRUTH
1787393820	2026-08-22 10:17	4	TRUTH
1787393880	2026-08-22 10:18	4	TRUTH
1787393940	2026-08-22 10:19	4	TRUTH
1787394000	2026-08-22 10:20	4	TRUTH
1787394060	2026-08-22 10:21	4	TRUTH
1787394120	2026-08-22 10:22	2	TRUTH
1787394180	2026-08-22 10:23	2	TRUTH
1787394240	2026-08-22 10:24	2	TRUTH
1787394300	2026-08-22 10:25	2	TRUTH
1787394360	2026-08-22 10:26	2	TRUTH
1787394600	2026-08-22 10:30	2	SPEC_ONLY
1787394660	2026-08-22 10:31	2	SPEC_ONLY
1787394720	2026-08-22 10:32	2	SPEC_ONLY
1787394780	2026-08-22 10:33	2	SPEC_ONLY
1787394840	2026-08-22 10:34	2	SPEC_ONLY
1787394900	2026-08-22 10:35	2	SPEC_ONLY
1787394960	2026-08-22 10:36	2	SPEC_ONLY
1787395020	2026-08-22 10:37	2	SPEC_ONLY
1787395080	2026-08-22 10:38	2	SPEC_ONLY
1787395140	2026-08-22 10:39	2	SPEC_ONLY
1787395200	2026-08-22 10:40	2	SPEC_ONLY
1787395260	2026-08-22 10:41	2	SPEC_ONLY
1787395320	2026-08-22 10:42	2	SPEC_ONLY
1787395380	2026-08-22 10:43	2	SPEC_ONLY
1787395440	2026-08-22 10:44	2	SPEC_ONLY
1787395500	2026-08-22 10:45	2	SPEC_ONLY
1787395560	2026-08-22 10:46	2	SPEC_ONLY
1787396400	2026-08-22 11:00	2	TRUTH
1787396460	2026-08-22 11:01	2	TRUTH
1787396520	2026-08-22 11:02	2	TRUTH
1787396580	2026-08-22 11:03	2	TRUTH
1787396640	2026-08-22 11:04	2	TRUTH
1787396700	2026-08-22 11:05	4	TRUTH
1787396760	2026-08-22 11:06	4	TRUTH
1787396820	2026-08-22 11:07	4	TRUTH
1787396880	2026-08-22 11:08	4	TRUTH
1787396940	2026-08-22 11:09	4	TRUTH
1787397000	2026-08-22 11:10	5	TRUTH
1787397060	2026-08-22 11:11	5	TRUTH
1787397120	2026-08-22 11:12	5	TRUTH
1787397180	2026-08-22 11:13	5	TRUTH
1787397240	2026-08-22 11:14	5	TRUTH
1787397300	2026-08-22 11:15	5	TRUTH
1787397360	2026-08-22 11:16	5	TRUTH
1787397420	2026-08-22 11:17	5	TRUTH
1787397480	2026-08-22 11:18	5	TRUTH
1787397540	2026-08-22 11:19	5	TRUTH
1787397600	2026-08-22 11:20	5	TRUTH
1787397660	2026-08-22 11:21	5	TRUTH
1787397720	2026-08-22 11:22	3	TRUTH
1787397780	2026-08-22 11:23	3	TRUTH
1787397840	2026-08-22 11:24	3	TRUTH
