query	mode	elapsed_ms	read_rows	read_bytes
b01_day_peak_avg_total	ctl	9.0	8193	278529
b01_day_peak_avg_total	ptr	14.08	8198	311362
b01_day_peak_avg_total	lit	11.33	8193	311297
b02_day_peak_avg_platform	ctl	9.97	8193	278529
b02_day_peak_avg_platform	ptr	14.38	8198	311362
b02_day_peak_avg_platform	lit	14.44	8193	311297
b03_day_peak_avg_country	ctl	9.26	8193	278529
b03_day_peak_avg_country	ptr	16.61	8198	311362
b03_day_peak_avg_country	lit	12.67	8193	311297
b04_day_peak_avg_content	ctl	10.32	8193	278529
b04_day_peak_avg_content	ptr	15.39	8198	311362
b04_day_peak_avg_content	lit	11.38	8193	311297
b05_hour_grain_peak_day	ctl	3.44	8192	352256
b05_hour_grain_peak_day	ptr	5.93	8197	385089
b05_hour_grain_peak_day	lit	4.03	8192	385024
b06_minute_series_peak_hour	ctl	2.68	26622	319464
b06_minute_series_peak_hour	ptr	4.85	26627	426017
b06_minute_series_peak_hour	lit	3.29	26622	425952
b07_minute_series_peak_hour_platform	ctl	2.57	16384	212992
b07_minute_series_peak_hour_platform	ptr	4.82	16389	278593
b07_minute_series_peak_hour_platform	lit	3.46	16384	278528
b08_day_peak_avg_video_type	ctl	4.22	60086	833647
b08_day_peak_avg_video_type	ptr	6.69	60091	940200
b08_day_peak_avg_video_type	lit	4.88	60086	940135
b09_day_peak_avg_partial_platform	ctl	3.59	16384	212992
b09_day_peak_avg_partial_platform	ptr	6.44	16389	278593
b09_day_peak_avg_partial_platform	lit	4.34	16384	278528
b10_range_peak_avg_full_span	ctl	9.62	8193	278529
b10_range_peak_avg_full_span	ptr	12.91	8198	311362
b10_range_peak_avg_full_span	lit	10.31	8193	311297
b11_range_peak_avg_ragged	ctl	8.18	26623	319465
b11_range_peak_avg_ragged	ptr	11.16	26628	426018
b11_range_peak_avg_ragged	lit	10.05	26623	425953
b12_day_grain_all_days	ctl	2.79	8192	286720
b12_day_grain_all_days	ptr	4.92	8197	319553
b12_day_grain_all_days	lit	3.6	8192	319488
b13_hour_top_content	ctl	3.06	16384	344064
b13_hour_top_content	ptr	5.47	16389	376897
b13_hour_top_content	lit	3.74	16384	376832
