event_type	event	events	sessions
AppBackgrounded	AppBackgrounded	14700	10866
AppForegrounded	AppForegrounded	14321	10866
VideoError	VideoError	293	293
VideoHeartbeat	network-activity	177485	9630
VideoHeartbeat	buffer-health	167460	9582
VideoHeartbeat	video-resize	141250	7791
VideoHeartbeat	BufferStart	66641	6112
VideoHeartbeat	BufferEnd	66289	6020
VideoHeartbeat	video_forward	49879	2554
VideoHeartbeat	Seek	32036	2618
VideoHeartbeat	resume	31780	8826
VideoHeartbeat	network-bandwidth	30637	3258
VideoHeartbeat	pause	27340	10669
VideoHeartbeat	upshift	19400	7625
VideoHeartbeat	dropped-frames	11089	4438
VideoHeartbeat	downshift	7294	2077
VideoHeartbeat	video_rewind	6587	1451
VideoHeartbeat	AdSkipTrueView	1889	1229
VideoHeartbeat	network-change	1178	254
VideoHeartbeat	download_asset_played	1154	1152
VideoHeartbeat	next_video_click	619	608
VideoHeartbeat	go_live_click	423	263
VideoHeartbeat	download_initiated	409	151
VideoHeartbeat	speed-change	399	187
VideoHeartbeat	golive	396	137
VideoHeartbeat	speed-pause	380	174
VideoHeartbeat	speed-resume	380	174
VideoHeartbeat	download_completed	362	122
VideoHeartbeat	audio-language	180	147
VideoHeartbeat	preroll-disabled	152	151
VideoHeartbeat	video_quality_change	144	99
VideoHeartbeat	subtitle-language	83	70
VideoHeartbeat	AdBufferStart	83	42
VideoHeartbeat	AdBufferEnd	62	36
VideoHeartbeat	AdPause	45	27
VideoHeartbeat	AdResume	27	19
VideoHeartbeat	preview_watched	25	25
VideoHeartbeat	download_deleted	12	11
VideoHeartbeat	download_asset_play_stop	10	10
VideoHeartbeat	chromecast_clicked	6	4
VideoHeartbeat	chromecast_started	6	4
VideoHeartbeat	download_resumed	4	3
VideoHeartbeat	AdClick	4	4
VideoHeartbeat	premium_button_click	1	1
VideoPlay	Play	10883	10866
VideoSessionEnd	VideoSessionEnd	10881	10866
VideoSessionStart	VideoSessionStart	10880	10866
