server_ts	minute_cc	hour_peak	user_cc
2026-08-01 17:42:42.350	2825	2825	2737
2026-08-01 17:42:42.773	2825	2825	2737
2026-08-01 17:42:43.171	2825	2825	2737
2026-08-01 17:42:43.567	2825	2825	2737
2026-08-01 17:42:43.960	2825	2825	2737
2026-08-01 17:42:45.038	2825	2825	2737
2026-08-01 17:42:45.480	2825	2825	2737
2026-08-01 17:42:46.564	2825	2825	2737
2026-08-01 17:42:46.981	2825	2825	2737
2026-08-01 17:42:47.380	2525	2825	2737
2026-08-01 17:42:47.789	2525	2825	2737
2026-08-01 17:42:48.185	2525	2825	2737
2026-08-01 17:42:48.616	2525	2825	2737
2026-08-01 17:42:49.731	2525	2825	2737
2026-08-01 17:42:50.820	2525	2825	2737
2026-08-01 17:42:51.264	2525	2825	2737
2026-08-01 17:42:52.344	2525	2825	2737
2026-08-01 17:42:52.767	2525	2825	2737
2026-08-01 17:42:53.833	2525	2825	2737
2026-08-01 17:42:54.268	2525	2825	2737
2026-08-01 17:42:55.340	2525	2825	2737
2026-08-01 17:42:55.748	2525	2825	2737
2026-08-01 17:42:56.169	2525	2825	2737
2026-08-01 17:42:56.556	2525	2825	2737
2026-08-01 17:42:56.967	2525	2825	2737
2026-08-01 17:42:58.059	2525	2825	2737
2026-08-01 17:42:58.467	2525	2825	2737
2026-08-01 17:42:58.863	2825	2825	2737
2026-08-01 17:42:59.265	2825	2825	2737
2026-08-01 17:42:59.807	2825	2825	2737
2026-08-01 17:43:00.242	2825	2825	2737
2026-08-01 17:43:00.648	2825	2825	2737
2026-08-01 17:43:02.424	2825	2825	2737
2026-08-01 17:43:02.838	2825	2825	2737
2026-08-01 17:43:03.244	2825	2825	2737
2026-08-01 17:43:04.349	2825	2825	2737
2026-08-01 17:43:04.758	2825	2825	2737
2026-08-01 17:43:05.285	2825	2825	2737
2026-08-01 17:43:05.705	2825	2825	2737
2026-08-01 17:43:06.122	2825	2825	2737
2026-08-01 17:43:06.547	2825	2825	2737
2026-08-01 17:43:06.956	2825	2825	2737
2026-08-01 17:43:07.363	2825	2825	2737
2026-08-01 17:43:07.761	2825	2825	2737
2026-08-01 17:43:08.184	2825	2825	2737
2026-08-01 17:43:08.601	2825	2825	2737
2026-08-01 17:43:09.031	2825	2825	2737
2026-08-01 17:43:09.483	2825	2825	2737
2026-08-01 17:43:09.900	2825	2825	2737
2026-08-01 17:43:11.013	2825	2825	2737
2026-08-01 17:43:11.476	2825	2825	2737
2026-08-01 17:43:11.898	2825	2825	2737
2026-08-01 17:43:12.369	2825	2825	2737
2026-08-01 17:43:13.457	2825	2825	2737
2026-08-01 17:43:14.526	2825	2825	2737
2026-08-01 17:43:14.949	2825	2825	2737
2026-08-01 17:43:15.387	2825	2825	2737
2026-08-01 17:43:15.847	2825	2825	2737
2026-08-01 17:43:16.266	2825	2825	2737
2026-08-01 17:43:17.342	2825	2825	2737
