server_ts	mA_minute	mA_hourpeak	mA_users	mB_minute	mB_hourpeak	mB_users
2026-08-01 17:45:00.439	2825	2825	2737	0	0	0
2026-08-01 17:45:01.568	2825	2825	2737	0	0	0
2026-08-01 17:45:02.022	2825	2825	2737	0	0	0
2026-08-01 17:45:03.145	2825	2825	2737	0	0	0
2026-08-01 17:45:03.588	2825	2825	2737	0	0	0
2026-08-01 17:45:04.017	2825	2825	2737	0	0	0
2026-08-01 17:45:04.432	2825	2825	2737	0	0	0
2026-08-01 17:45:04.877	2825	2825	2737	0	0	0
2026-08-01 17:45:05.321	344	2825	2737	0	0	0
2026-08-01 17:45:05.749	344	2825	2737	0	0	0
2026-08-01 17:45:06.201	344	2825	2737	0	0	0
2026-08-01 17:45:06.620	344	2825	2737	0	0	0
2026-08-01 17:45:07.053	344	2825	2737	0	0	0
2026-08-01 17:45:07.494	344	2825	2737	0	0	0
2026-08-01 17:45:07.934	344	2825	2737	0	0	0
2026-08-01 17:45:08.363	344	2825	2737	0	0	0
2026-08-01 17:45:08.793	344	2825	2737	0	0	0
2026-08-01 17:45:09.211	344	2825	2737	0	0	0
2026-08-01 17:45:09.639	344	2825	2737	0	0	0
2026-08-01 17:45:10.095	344	2825	2737	0	0	0
2026-08-01 17:45:10.659	344	2825	2737	0	0	0
2026-08-01 17:45:11.113	344	2825	2737	0	0	0
2026-08-01 17:45:12.275	344	2825	2737	0	0	0
2026-08-01 17:45:12.723	344	2825	2737	0	0	0
2026-08-01 17:45:13.195	344	2825	2737	0	0	0
2026-08-01 17:45:13.670	344	2825	2737	0	0	0
2026-08-01 17:45:14.763	344	2825	2737	0	0	0
2026-08-01 17:45:15.853	344	2825	2737	0	0	0
2026-08-01 17:45:16.312	344	2825	2737	0	0	0
2026-08-01 17:45:17.423	344	2825	2737	0	0	0
2026-08-01 17:45:18.614	2825	2825	2737	197	0	0
2026-08-01 17:45:19.073	2825	2825	2737	197	0	0
2026-08-01 17:45:19.504	2825	2825	2737	197	0	0
2026-08-01 17:45:19.982	2825	2825	2737	197	0	0
2026-08-01 17:45:20.435	2825	2825	2737	197	0	0
2026-08-01 17:45:21.567	2825	2825	2737	197	0	0
2026-08-01 17:45:22.002	2825	2825	2737	197	0	0
2026-08-01 17:45:22.503	2825	2917	2737	197	2873	0
2026-08-01 17:45:22.973	2825	2917	2737	197	2873	0
2026-08-01 17:45:24.108	2825	2917	2737	197	2873	0
2026-08-01 17:45:24.585	2825	2917	2737	197	2873	0
2026-08-01 17:45:25.042	2825	2917	2737	197	2873	0
2026-08-01 17:45:25.510	2825	2917	2737	197	2873	0
2026-08-01 17:45:26.625	2825	2917	2737	197	2873	191
2026-08-01 17:45:27.143	2825	2917	2737	197	2873	191
2026-08-01 17:45:27.651	2825	2917	2737	197	2873	191
2026-08-01 17:45:28.178	2825	2917	2737	197	2873	191
2026-08-01 17:45:28.657	2825	2917	2737	197	2873	191
2026-08-01 17:45:29.147	2825	2917	2737	197	2873	191
2026-08-01 17:45:29.657	2825	2917	2737	197	2873	191
2026-08-01 17:45:30.804	2825	2917	2737	197	2873	191
2026-08-01 17:45:31.332	2825	2917	2737	197	2873	191
