minute	concurrent
2026-07-26 10:30:00	198
2026-07-26 10:31:00	469
2026-07-26 10:32:00	645
2026-07-26 10:33:00	835
2026-07-26 10:34:00	988
2026-07-26 10:35:00	1163
2026-07-26 10:36:00	1352
2026-07-26 10:37:00	1478
2026-07-26 10:38:00	1630
2026-07-26 10:39:00	1738
2026-07-26 10:40:00	1891
2026-07-26 10:41:00	2013
2026-07-26 10:42:00	2146
2026-07-26 10:43:00	2231
2026-07-26 10:44:00	2285
2026-07-26 10:45:00	2333
2026-07-26 10:46:00	2449
2026-07-26 10:47:00	2520
2026-07-26 10:48:00	2590
2026-07-26 10:49:00	2568
2026-07-26 10:50:00	2645
2026-07-26 10:51:00	2656
2026-07-26 10:52:00	2713
2026-07-26 10:53:00	2702
2026-07-26 10:54:00	2795
2026-07-26 10:55:00	2797
2026-07-26 10:56:00	2856
2026-07-26 10:57:00	2792
2026-07-26 10:58:00	2814
2026-07-26 10:59:00	2837
2026-07-26 11:00:00	2852
2026-07-26 11:01:00	2866
2026-07-26 11:02:00	2880
2026-07-26 11:03:00	2782
2026-07-26 11:04:00	2796
2026-07-26 11:05:00	2656
2026-07-26 11:06:00	2650
2026-07-26 11:07:00	2650
2026-07-26 11:08:00	2583
2026-07-26 11:09:00	2487
2026-07-26 11:10:00	2460
2026-07-26 11:11:00	2370
2026-07-26 11:12:00	2298
2026-07-26 11:13:00	2209
2026-07-26 11:14:00	2194
2026-07-26 11:15:00	2107
2026-07-26 11:16:00	1952
2026-07-26 11:17:00	1912
2026-07-26 11:18:00	1796
2026-07-26 11:19:00	1695
2026-07-26 11:20:00	1581
2026-07-26 11:21:00	1415
2026-07-26 11:22:00	1324
2026-07-26 11:23:00	1162
2026-07-26 11:24:00	1067
2026-07-26 11:25:00	912
2026-07-26 11:26:00	762
2026-07-26 11:27:00	616
2026-07-26 11:28:00	471
2026-07-26 11:29:00	250
