hour	peak	peak_minute	integral	avg_concurrent
2026-06-01 08:00:00	1	2026-06-01 08:00:00	660	0.18
2026-06-01 10:00:00	8	2026-06-01 10:30:00	12180	3.38
2026-06-01 14:00:00	2	2026-06-01 14:05:00	4560	1.27
2026-06-01 15:00:00	1	2026-06-01 15:30:00	1800	0.5
2026-06-01 16:00:00	1	2026-06-01 16:00:00	3600	1
2026-06-01 17:00:00	1	2026-06-01 17:00:00	3600	1
2026-06-01 18:00:00	1	2026-06-01 18:00:00	2760	0.77
2026-06-01 19:00:00	1	2026-06-01 19:00:00	3600	1
2026-06-01 20:00:00	1	2026-06-01 20:00:00	120	0.03
2026-06-01 21:00:00	1	2026-06-01 21:00:00	60	0.02
2026-06-01 22:00:00	1	2026-06-01 22:10:00	60	0.02
