minute	concurrent
2026-06-01 10:00:00	0
2026-06-01 10:01:00	0
2026-06-01 10:02:00	0
2026-06-01 10:03:00	0
2026-06-01 10:04:00	0
2026-06-01 10:05:00	1
2026-06-01 10:06:00	1
2026-06-01 10:07:00	1
2026-06-01 10:08:00	1
2026-06-01 10:09:00	1
2026-06-01 10:10:00	3
2026-06-01 10:11:00	3
2026-06-01 10:12:00	4
2026-06-01 10:13:00	4
2026-06-01 10:14:00	4
2026-06-01 10:15:00	6
2026-06-01 10:16:00	6
2026-06-01 10:17:00	6
2026-06-01 10:18:00	6
2026-06-01 10:19:00	6
2026-06-01 10:20:00	7
2026-06-01 10:21:00	6
2026-06-01 10:22:00	7
2026-06-01 10:23:00	7
2026-06-01 10:24:00	7
2026-06-01 10:25:00	7
2026-06-01 10:26:00	6
2026-06-01 10:27:00	6
2026-06-01 10:28:00	6
2026-06-01 10:29:00	6
2026-06-01 10:30:00	8
2026-06-01 10:31:00	7
2026-06-01 10:32:00	7
2026-06-01 10:33:00	7
2026-06-01 10:34:00	7
2026-06-01 10:35:00	7
2026-06-01 10:36:00	5
2026-06-01 10:37:00	5
2026-06-01 10:38:00	5
2026-06-01 10:39:00	4
2026-06-01 10:40:00	4
2026-06-01 10:41:00	3
2026-06-01 10:42:00	3
2026-06-01 10:43:00	3
2026-06-01 10:44:00	3
2026-06-01 10:45:00	2
2026-06-01 10:46:00	1
2026-06-01 10:47:00	1
2026-06-01 10:48:00	1
2026-06-01 10:49:00	1
2026-06-01 10:50:00	1
2026-06-01 10:51:00	0
2026-06-01 10:52:00	0
2026-06-01 10:53:00	0
2026-06-01 10:54:00	0
2026-06-01 10:55:00	0
2026-06-01 10:56:00	0
2026-06-01 10:57:00	0
2026-06-01 10:58:00	0
2026-06-01 10:59:00	0
