minute	concurrent
2026-06-01 10:30:00	2
2026-06-01 10:31:00	1
2026-06-01 10:32:00	1
2026-06-01 10:33:00	1
2026-06-01 10:34:00	1
2026-06-01 10:35:00	1
2026-06-01 10:36:00	-1
2026-06-01 10:37:00	-1
2026-06-01 10:38:00	-1
2026-06-01 10:39:00	-2
2026-06-01 10:40:00	-2
2026-06-01 10:41:00	-3
2026-06-01 10:42:00	-3
2026-06-01 10:43:00	-3
2026-06-01 10:44:00	-3
2026-06-01 10:45:00	-4
2026-06-01 10:46:00	-5
2026-06-01 10:47:00	-5
2026-06-01 10:48:00	-5
2026-06-01 10:49:00	-5
2026-06-01 10:50:00	-5
2026-06-01 10:51:00	-6
2026-06-01 10:52:00	-6
2026-06-01 10:53:00	-6
2026-06-01 10:54:00	-6
2026-06-01 10:55:00	-6
2026-06-01 10:56:00	-6
2026-06-01 10:57:00	-6
2026-06-01 10:58:00	-6
2026-06-01 10:59:00	-6
2026-06-01 11:00:00	-6
2026-06-01 11:01:00	-6
2026-06-01 11:02:00	-6
2026-06-01 11:03:00	-6
2026-06-01 11:04:00	-6
2026-06-01 11:05:00	-6
2026-06-01 11:06:00	-6
2026-06-01 11:07:00	-6
2026-06-01 11:08:00	-6
2026-06-01 11:09:00	-6
2026-06-01 11:10:00	-6
2026-06-01 11:11:00	-6
2026-06-01 11:12:00	-6
2026-06-01 11:13:00	-6
2026-06-01 11:14:00	-6
2026-06-01 11:15:00	-6
2026-06-01 11:16:00	-6
2026-06-01 11:17:00	-6
2026-06-01 11:18:00	-6
2026-06-01 11:19:00	-6
2026-06-01 11:20:00	-6
2026-06-01 11:21:00	-6
2026-06-01 11:22:00	-6
2026-06-01 11:23:00	-6
2026-06-01 11:24:00	-6
2026-06-01 11:25:00	-6
2026-06-01 11:26:00	-6
2026-06-01 11:27:00	-6
2026-06-01 11:28:00	-6
2026-06-01 11:29:00	-6
